[00:18:11] [INFO] received Windows console close event; shutting log-core down
[00:21:55] [INFO] received Windows console close event; shutting log-core down
[00:24:11] [INFO] received Windows console close event; shutting log-core down
[00:40:18] [INFO] received Windows console close event; shutting log-core down
[00:40:23] [INFO] received Windows console close event; shutting log-core down
[00:40:56] [INFO] received Windows console close event; shutting log-core down
[01:08:05] [INFO] received Windows console close event; shutting log-core down
[19:51:09] [INFO] received Windows console close event; shutting log-core down
[19:55:01] [INFO] received Windows console close event; shutting log-core down
[20:16:05] [INFO] received Windows console close event; shutting log-core down
[20:17:15] [INFO] received Windows console close event; shutting log-core down
[20:18:16] [INFO] received Windows console close event; shutting log-core down
[20:21:23] [INFO] received Windows console close event; shutting log-core down
[23:33:51] [INFO] received Windows console close event; shutting log-core down
[23:34:03] [INFO] received Windows console close event; shutting log-core down
[23:37:26] [INFO] received Windows console close event; shutting log-core down
[23:39:54] [INFO] received Windows console close event; shutting log-core down
[00:02:50] [INFO] received Windows console close event; shutting log-core down
[00:20:39] [INFO] received Windows console close event; shutting log-core down
[00:27:02] [INFO] received Windows console close event; shutting log-core down
[00:42:56] [INFO] received Windows console close event; shutting log-core down
